date,ADOSC
2002-02-01 00:00:00,6001456.6186
2002-02-04 00:00:00,7183833.1378
2002-02-05 00:00:00,6552954.6609
2002-02-06 00:00:00,4233406.4101
2002-02-07 00:00:00,1641985.262
2002-02-08 00:00:00,512072.367
2002-02-11 00:00:00,2196171.624
2002-02-12 00:00:00,2534279.0615
2002-02-13 00:00:00,2833899.3389
2002-02-14 00:00:00,1985810.2076
2002-02-15 00:00:00,110826.3165
2002-02-19 00:00:00,-2446435.6191
2002-02-20 00:00:00,-1915474.6167
2002-02-21 00:00:00,-3898723.2297
2002-02-22 00:00:00,-2715065.2997
2002-02-25 00:00:00,-1429081.1578
2002-02-26 00:00:00,-1142584.8127
2002-02-27 00:00:00,-3167291.4238
2002-02-28 00:00:00,-4838263.9696
2002-03-01 00:00:00,-3217122.6804
2002-03-04 00:00:00,-913309.6716
2002-03-05 00:00:00,-1054631.0081
2002-03-06 00:00:00,-223533.7263
2002-03-07 00:00:00,1125632.8523
2002-03-08 00:00:00,1439415.8481
2002-03-11 00:00:00,2700317.9406
2002-03-12 00:00:00,4323935.0634
2002-03-13 00:00:00,4562465.2442
2002-03-14 00:00:00,4896892.2404
2002-03-15 00:00:00,5918729.3419
2002-03-18 00:00:00,6059437.3068
2002-03-19 00:00:00,5703838.0828
2002-03-20 00:00:00,5562418.745
2002-03-21 00:00:00,8298856.7698
2002-03-22 00:00:00,8247625.3991
2002-03-25 00:00:00,6370043.7325
2002-03-26 00:00:00,5663786.7455
2002-03-27 00:00:00,4796879.6574
2002-03-28 00:00:00,4006155.8797
2002-04-01 00:00:00,4067136.0149
2002-04-02 00:00:00,3641557.1725
2002-04-03 00:00:00,2328356.187
2002-04-04 00:00:00,3084645.9329
2002-04-05 00:00:00,3389293.1086
2002-04-08 00:00:00,4295447.2766
2002-04-09 00:00:00,3385268.8574
2002-04-10 00:00:00,3194731.3875
2002-04-11 00:00:00,1643670.8822
2002-04-12 00:00:00,2012106.0499
2002-04-15 00:00:00,2222906.2503
2002-04-16 00:00:00,3535572.293
2002-04-17 00:00:00,5660590.8396
2002-04-18 00:00:00,7513172.271
2002-04-19 00:00:00,5835927.4229
2002-04-22 00:00:00,4400552.0375
2002-04-23 00:00:00,2701974.1748
2002-04-24 00:00:00,1138638.1286
2002-04-25 00:00:00,884437.1774
2002-04-26 00:00:00,-1007510.4203
2002-04-29 00:00:00,-461790.4255
2002-04-30 00:00:00,842354.7625
2002-05-01 00:00:00,1705927.361
2002-05-02 00:00:00,875002.3618
2002-05-03 00:00:00,-500130.5761
2002-05-06 00:00:00,-1917452.1976
2002-05-07 00:00:00,-2578369.2605
2002-05-08 00:00:00,-636133.0279
2002-05-09 00:00:00,749943.4748
2002-05-10 00:00:00,605583.8309
2002-05-13 00:00:00,1606923.154
2002-05-14 00:00:00,4575134.2093
2002-05-15 00:00:00,4938299.3381
2002-05-16 00:00:00,5043380.5873
2002-05-17 00:00:00,4202944.1452
2002-05-20 00:00:00,3553723.6329
2002-05-21 00:00:00,1488267.2977
2002-05-22 00:00:00,2003310.8607
2002-05-23 00:00:00,3915478.7436
2002-05-24 00:00:00,3745939.4701
2002-05-28 00:00:00,3700610.7245
2002-05-29 00:00:00,3434752.3978
2002-05-30 00:00:00,3667812.9583
2002-05-31 00:00:00,1438677.2767
2002-06-03 00:00:00,73521.642
2002-06-04 00:00:00,289676.8303
2002-06-05 00:00:00,934855.5541
2002-06-06 00:00:00,-65515.4194
2002-06-07 00:00:00,-709949.6229
2002-06-10 00:00:00,-1602978.9223
2002-06-11 00:00:00,-3654420.5906
2002-06-12 00:00:00,-6052885.5965
2002-06-13 00:00:00,-7528836.5657
2002-06-14 00:00:00,-5591939.9512
2002-06-17 00:00:00,-2872466.7252
2002-06-18 00:00:00,-2387487.7822
2002-06-19 00:00:00,-5209670.2344
2002-06-20 00:00:00,-6581702.6102
2002-06-21 00:00:00,-8640455.6175
2002-06-24 00:00:00,-8435081.1606
2002-06-25 00:00:00,-8126869.1542
2002-06-26 00:00:00,-7674111.7032
2002-06-27 00:00:00,-6067896.5483
2002-06-28 00:00:00,-3699867.4916
2002-07-01 00:00:00,-3629569.8416
2002-07-02 00:00:00,-3848859.9083
2002-07-03 00:00:00,-2773974.7386
2002-07-05 00:00:00,-1181268.5916
2002-07-08 00:00:00,-770712.6272
2002-07-09 00:00:00,-1603731.082
2002-07-10 00:00:00,-2795302.5057
2002-07-11 00:00:00,-1059333.9341
2002-07-12 00:00:00,-1982164.4727
2002-07-15 00:00:00,-1192969.2255
2002-07-16 00:00:00,-1978007.6796
2002-07-17 00:00:00,-3008253.6308
2002-07-18 00:00:00,-4451292.1326
2002-07-19 00:00:00,-3884605.3315
2002-07-22 00:00:00,-3130785.9517
2002-07-23 00:00:00,-4612318.6288
2002-07-24 00:00:00,-2584173.1804
2002-07-25 00:00:00,-2214940.8751
2002-07-26 00:00:00,-1296714.2299
2002-07-29 00:00:00,416663.8421
2002-07-30 00:00:00,2756281.6992
2002-07-31 00:00:00,4141802.5563
2002-08-01 00:00:00,3295140.6323
2002-08-02 00:00:00,2174440.3938
2002-08-05 00:00:00,422583.4485
2002-08-06 00:00:00,-103998.4612
2002-08-07 00:00:00,346629.4565
