date,DX
2002-05-03 00:00:00,17.2115
2002-05-06 00:00:00,28.7938
2002-05-07 00:00:00,32.0929
2002-05-08 00:00:00,6.5886
2002-05-09 00:00:00,6.5886
2002-05-10 00:00:00,15.9772
2002-05-13 00:00:00,16.4086
2002-05-14 00:00:00,4.1772
2002-05-15 00:00:00,7.4286
2002-05-16 00:00:00,6.2897
2002-05-17 00:00:00,9.9733
2002-05-20 00:00:00,8.8811
2002-05-21 00:00:00,5.128
2002-05-22 00:00:00,6.0291
2002-05-23 00:00:00,4.368
2002-05-24 00:00:00,3.0235
2002-05-28 00:00:00,3.295
2002-05-29 00:00:00,0.361
2002-05-30 00:00:00,0.361
2002-05-31 00:00:00,3.2783
2002-06-03 00:00:00,11.5725
2002-06-04 00:00:00,15.9099
2002-06-05 00:00:00,15.9099
2002-06-06 00:00:00,10.7916
2002-06-07 00:00:00,22.5452
2002-06-10 00:00:00,22.5452
2002-06-11 00:00:00,30.9866
2002-06-12 00:00:00,34.7685
2002-06-13 00:00:00,38.9636
2002-06-14 00:00:00,47.0869
2002-06-17 00:00:00,42.8328
2002-06-18 00:00:00,42.8328
2002-06-19 00:00:00,58.2095
2002-06-20 00:00:00,58.3237
2002-06-21 00:00:00,58.5621
2002-06-24 00:00:00,54.8332
2002-06-25 00:00:00,54.8332
2002-06-26 00:00:00,58.7722
2002-06-27 00:00:00,58.7722
2002-06-28 00:00:00,49.7292
2002-07-01 00:00:00,48.7563
2002-07-02 00:00:00,50.01
2002-07-03 00:00:00,41.4025
2002-07-05 00:00:00,25.7712
2002-07-08 00:00:00,26.0126
2002-07-09 00:00:00,27.8244
2002-07-10 00:00:00,29.5576
2002-07-11 00:00:00,31.8544
2002-07-12 00:00:00,25.107
2002-07-15 00:00:00,29.0175
2002-07-16 00:00:00,29.0175
2002-07-17 00:00:00,45.8616
2002-07-18 00:00:00,48.2135
2002-07-19 00:00:00,49.3712
2002-07-22 00:00:00,49.0523
2002-07-23 00:00:00,50.0071
2002-07-24 00:00:00,51.0856
2002-07-25 00:00:00,52.4495
2002-07-26 00:00:00,53.6401
2002-07-29 00:00:00,43.3825
2002-07-30 00:00:00,36.4832
2002-07-31 00:00:00,36.4832
2002-08-01 00:00:00,37.8569
2002-08-02 00:00:00,41.6104
2002-08-05 00:00:00,43.6986
2002-08-06 00:00:00,34.1404
2002-08-07 00:00:00,31.8756
2002-08-08 00:00:00,31.516
2002-08-09 00:00:00,31.712
2002-08-12 00:00:00,32.3237
2002-08-13 00:00:00,28.4874
2002-08-14 00:00:00,25.6617
2002-08-15 00:00:00,17.8659
2002-08-16 00:00:00,11.495
2002-08-19 00:00:00,8.841
2002-08-20 00:00:00,11.6453
2002-08-21 00:00:00,8.8623
2002-08-22 00:00:00,8.6722
2002-08-23 00:00:00,12.0665
